date,region,confirmed,death,released,vaccinatedOnce
2021-01-01,서울,19356,182,10787,
2021-01-01,부산,1925,50,1370,
2021-01-01,대구,7844,201,7294,
2021-01-01,인천,2904,29,2150,
2021-01-01,광주,1098,6,864,
2021-01-01,대전,856,7,689,
2021-01-01,울산,716,26,457,
2021-01-01,세종,150,1,129,
2021-01-01,경기,14734,271,10535,
2021-01-01,강원,1237,13,906,
2021-01-01,충북,1185,24,629,
2021-01-01,충남,1668,23,1180,
2021-01-01,전북,845,11,644,
2021-01-01,전남,566,5,475,
2021-01-01,경북,2448,62,1904,
2021-01-01,경남,1360,4,1041,
2021-01-01,제주,421,0,219,
2021-01-01,검역,2445,2,1680,
2021-01-02,서울,19606,186,10852,
2021-01-02,부산,1951,53,1399,
2021-01-02,대구,7873,202,7311,
2021-01-02,인천,2975,29,2174,
2021-01-02,광주,1111,6,871,
2021-01-02,대전,860,7,697,
2021-01-02,울산,733,27,473,
2021-01-02,세종,153,1,129,
2021-01-02,경기,14961,281,10893,
2021-01-02,강원,1268,13,917,
2021-01-02,충북,1221,28,638,
2021-01-02,충남,1675,24,1186,
2021-01-02,전북,856,11,648,
2021-01-02,전남,577,5,477,
2021-01-02,경북,2468,62,1926,
2021-01-02,경남,1397,5,1060,
2021-01-02,제주,434,0,246,
2021-01-02,검역,2459,2,1681,
2021-01-03,서울,19804,189,11521,
2021-01-03,부산,1970,57,1424,
2021-01-03,대구,7895,202,7328,
2021-01-03,인천,3023,30,2217,
2021-01-03,광주,1137,7,884,
2021-01-03,대전,868,7,714,
2021-01-03,울산,740,29,490,
2021-01-03,세종,154,1,131,
2021-01-03,경기,15165,286,10893,
2021-01-03,강원,1301,15,928,
2021-01-03,충북,1248,28,655,
2021-01-03,충남,1684,24,1190,
2021-01-03,전북,861,13,654,
2021-01-03,전남,589,5,483,
2021-01-03,경북,2482,62,1959,
2021-01-03,경남,1409,5,1079,
2021-01-03,제주,438,0,276,
2021-01-03,검역,2467,2,1681,
2021-01-04,서울,20133,193,11721,
2021-01-04,부산,2007,58,1447,
2021-01-04,대구,7924,203,7359,
2021-01-04,인천,3126,30,2249,
2021-01-04,광주,1211,7,889,
2021-01-04,대전,874,7,720,
2021-01-04,울산,745,30,498,
